,word,categories
630,late,[]
631,lavander,['herbal']
632,lavender,['herbal']
633,lazzaroni,[]
634,leaf,[]
635,leaf-infused,[]
636,leaves,[]
637,lemon,['citrus']
638,lemon-celery,[]
639,lemonade,[]
640,lemongrass,['herbal']
641,lemonjuice,[]
642,lemons,[]
643,lemorton,[]
644,leopold,[]
645,liberty,[]
646,licor,[]
647,licorice,[]
648,licorice-infused,[]
649,light,[]
650,lightly,[]
651,lightning,[]
652,lillet,[]
653,lime,['citrus']
654,limoncello,"['liqueur', 'citrus']"
655,lincoln,[]
656,liqueur,['liqueur']
657,liquid,[]
658,liquor,[]
659,liquore,[]
660,lo-fi,[]
661,local,[]
662,london,[]
663,lopez,[]
664,lovage,[]
665,lustau,[]
666,luxardo,['liqueur']
667,lychee,[]
668,madeira,[]
669,maestro,[]
670,mai,[]
671,malt,['grain']
672,mancino,[]
673,mandarin,[]
674,mandarine,[]
675,mango,['fruit']
676,mansinthe,[]
677,manzanilla,['herbal']
678,maple,[]
679,maraschino,['liqueur']
680,marin,[]
681,marinade,[]
682,marmalade,['syrup']
683,marnier,[]
684,marrakesh,[]
685,marshmallow,[]
686,martini,[]
687,mary,[]
688,matcha,[]
689,mathilde,[]
690,maurin,[]
691,mauritian,[]
692,mcclure's,[]
693,mediterranean,[]
694,medium,[]
695,mendolera,[]
696,menta,[]
697,menthe,['herbal']
698,mes,[]
699,mexican,[]
700,meyer,[]
701,mezcal,['mezcal']
702,michel,[]
703,mile,[]
704,milk,['cream']
705,mineral,[]
706,mint,['herbal']
707,mint-infused,[]
708,minta,[]
709,mirabelle,[]
710,miracle,[]
711,miso,[]
712,mist,[]
713,mix,[]
714,mixwell,[]
715,miyagikyo,[]
716,moka,[]
717,molasses,['syrup']
718,mole,[]
719,momokawa,[]
720,mondavi,[]
721,monin,[]
722,monkey,[]
723,montanaro,[]
724,montelobos,[]
725,montenegro,[]
726,montifaud,[]
727,morlacco,[]
728,moroccan,[]
729,moscatel,[]
730,moscato,['wine']
731,moste,[]
732,muddled,[]
733,mulled,[]
734,mure,[]
735,muscat,[]
736,n',[]
737,napa,[]
738,napoleon,[]
739,napoléon,[]
740,nectar,['syrup']
741,new,[]
742,nigori,['wine']
743,nikka,[]
744,no.,[]
745,no.3,[]
746,nocino,[]
747,noilly,[]
748,noir,[]
749,nonino,[]
750,nori-infused,[]
751,normandie,[]
752,noyaux,[]
753,noyeau,[]
754,nut,['nut']
755,nutmeg,['spice']
756,nux,[]
757,oaked,[]
758,oat,['grain']
759,oatmeal-infused,[]
760,of,[]
761,oil,[]
762,oil's,[]
763,okinawa,[]
764,okra,[]
765,old,[]
766,olive,[]
767,oloroso,['liqueur']
768,olorosso,['liqueur']
769,on,[]
770,one,[]
771,onion,['vegetable']
772,optional,[]
773,or,[]
774,orange,"['fruit', 'citrus']"
775,orange-scented,[]
776,orchard,[]
777,organic,['organic']
778,orgeat,"['liqueur', 'nut', 'cream']"
779,osha,[]
780,ouro,[]
781,overholt,[]
782,oz,[]
783,packages,[]
784,pages,[]
785,pamplemousse,[]
786,part,[]
787,parts,[]
788,passion,[]
789,pasteurized,[]
790,pastis,[]
791,peach,['fruit']
792,peanut,['nut']
793,pear,['fruit']
794,peas,['vegetable']
795,peated,[]
796,pecan,['nut']
797,peche,[]
798,pedro,[]
799,peel,[]
800,penny,[]
801,pepper,['spice']
802,peppercorns,['spice']
803,pepperoncini,[]
804,perez,[]
805,perfect,[]
806,perfecto,[]
807,perrier,[]
808,peychaud's,[]
809,phosphate,[]
810,pickle,[]
811,pickled,[]
812,picon,[]
813,pie,[]
814,pieces,[]
815,pierre,[]
816,pigeon,[]
817,pilon,[]
818,pimento,[]
819,pimms,[]
820,pinapple,[]
821,pinch,[]
822,pine,[]
823,pineapple,"['fruit', 'citrus', 'tropical']"
824,pineapple-infused,[]
825,pineau,[]
826,pines,[]
827,pink,[]
828,pinot,[]
829,pipe,[]
830,pipparas,[]
831,pisco,['brandy']
832,pistachio,['nut']
833,pith,[]
834,plantation,[]
835,plum,['fruit']
836,plus,[]
837,plymouth,[]
838,poached,[]
839,poissy,[]
840,pomegranate,['fruit']
841,pommeau,[]
842,pond,[]
843,pontarlier,[]
844,poppy,[]
845,port,['wine']
846,porter,['beer']
847,pot,[]
848,potato,[]
849,potrero,[]
850,powder,[]
851,prado,[]
852,prat,[]
853,prata,[]
854,prefer,[]
855,premium,[]
856,pressed,[]
857,previously,[]
858,prichard's,[]
859,prickly,[]
860,primero,[]
861,professore,[]
862,prosecco,['champagne']
863,puer,[]
864,pumpkin,['fruit']
865,pumpkin-infused,[]
866,punt,[]
867,pure,[]
868,puree,[]
869,purée,[]
870,pusser's,[]
871,px,[]
872,pêche,[]
873,quady,[]
874,quality,[]
875,quebranta,[]
876,quina,['liqueur']
877,quinquina,[]
878,quintessentia,[]
879,quintinye,[]
880,rare,[]
881,raspberries,['fruit']
882,raspberry,['fruit']
883,raspberry/white,[]
884,rasta,[]
885,real,[]
886,red,[]
887,reduction,[]
888,reed's,[]
889,regale,[]
890,regans',[]
891,reisetbauer,[]
892,removed,[]
893,reposado,['tequila']
894,reserva,[]
895,reserve,[]
896,reyes,[]
897,reynolds,[]
898,rhubarb,['herbal']
899,rhubard,['herbal']
900,rhum,[]
901,rich,[]
902,riesling,[]
903,rinse,[]
904,rittenhouse,[]
905,roasted,[]
906,rock,[]
907,rocoto,[]
908,rooibus,[]
909,root,[]
910,root-infused,[]
911,rosa,[]
912,rose,[]
913,rossi,[]
914,rosso,[]
915,rothman,[]
916,rouge,[]
917,round,[]
918,roussillon,[]
919,rubarb,['herbal']
920,ruby,[]
921,rum,['rum']
922,rum ,[]
923,rye,['grain']
924,sage,['herbal']
925,sage-cilantro-lime,[]
926,sake,['wine']
927,salers,[]
928,salt,[]
929,salted,[]
930,sambuca,[]
931,sangue,[]
932,sarsaparilla,['mixer']
933,sarsparilla,['mixer']
934,saschira,[]
935,sathenay,[]
936,satsuma,[]
937,sauternes,[]
938,sauvignon,['wine']
939,sc,[]
940,scoop,[]
941,scotch,['whiskey']
942,scrappy's,[]
943,scrappy’s,[]
944,sea,[]
945,seasoning,[]
946,sec,[]
947,secco,[]
948,seedless,[]
949,seersucker,[]
950,selection,[]
951,selecto,[]
952,seltzer,[]
953,semper,[]
954,sercial,[]
955,serrano,['spicy']
956,sesame,['nut']
957,sharp,[]
958,shaw-treuse,[]
959,sherry,['wine']
960,shibori,[]
961,shoulder,[]
962,shrub,[]
963,shrubb,[]
964,sibilla,[]
965,silver,[]
966,simple,[]
967,single,[]
968,sioux,[]
969,slice,[]
970,sliced,[]
971,slices,[]
972,slivovitz,[]
973,sloe,[]
974,small,[]
975,smith,[]
976,smoked,['herbal']
977,snake,[]
978,snap,[]
979,snaps,[]
980,soaked,[]
981,soda,['mixer']
982,solera,[]
983,solution,[]
984,sorbet,[]
985,sour,['sour']
986,soy,[]
987,sparkling,[]
988,speciale,[]
989,spice,['spice']
990,spiced,[]
991,spinach,['vegetable']
992,spirit,['spirit']
993,spirits,[]
994,splash,[]
995,spoon,[]
996,spray,[]
997,sprig,['herbal']
998,sprigs,[]
999,spring,[]
1000,spring/summer,[]
1001,squash,[]
1002,squeeze,[]
1003,squeezed,[]
1004,st.,[]
1005,stalk,[]
1006,star,[]
1007,steam,[]
1008,steamed,[]
1009,steeped,[]
1010,stem,[]
1011,stems,[]
1012,stick,[]
1013,sticks,[]
1014,still,[]
1015,still-style,[]
1016,stone,[]
1017,straight,[]
1018,strawberries,['fruit']
1019,strawberriesmuddled,[]
1020,strawberry,['fruit']
1021,strawberry-raspberry,[]
1022,street,[]
1023,strega,[]
1024,stuffed,[]
1025,sugar,['sugar']
1026,sun,[]
1027,superieure,[]
1028,superior,[]
1029,supremo,[]
1030,sweet,[]
1031,sweetened,[]
1032,swiss,[]
1033,syrup,['syrup']
1034,syrup ,[]
1035,t.,[]
1036,tabasco,['spicy']
1037,tahitian,[]
1038,tai,[]
1039,taketsuru,[]
1040,tamarind,['fruit']
1041,tap,[]
1042,tarragon,['herbal']
1043,tart,['sour']
1044,tawny,[]
1045,taylor's,[]
1046,tea,['tea']
1047,tea-infused,[]
1048,tea/rice-infused,[]
1049,tempus,"['wine', 'herbal']"
1050,ten,[]
1051,tequila,['tequila']
1052,tesoro,[]
1053,thai,[]
1054,the,[]
1055,thomas,[]
1056,thyme,['herbal']
1057,tiki,[]
1058,tincture,[]
1059,tippleman's,[]
1060,to,[]
1061,toasted,['herbal']
1062,tobacco,['herbal']
1063,tom,[]
1064,tomato,['fruit']
1065,tomatoes,['fruit']
1066,tonic,['mixer']
1067,tonic ,[]
1068,top,[]
1069,topo,[]
1070,torched,[]
1071,torino,[]
1072,tree,[]
