,index,ingredient_type
1130,1176,vodka
1131,1177,spice
1132,1178,mixer
1133,1179,whiskey
1134,1180,liqueur
1135,1181,liqueur
1136,1182,citrus
1137,1183,liqueur
1138,1184,bitters
1139,1185,citrus
1140,1186,gin
1141,1187,liqueur
1142,1188,wine
1143,1189,citrus
1144,1190,vodka
1145,1191,bitters
1146,1192,spice
1147,1193,citrus
1148,1194,cold
1149,1195,herbal
1150,1196,vegetable
1151,1197,whiskey
1152,1198,cognac
1153,1199,wine
1154,1200,liqueur
1155,1201,bitters
1156,1202,bitters
1157,1203,mezcal
1158,1204,citrus
1159,1205,juice
1160,1206,spice
1161,1207,fruit
1162,1208,rum
1163,1209,nut
1164,1210,liqueur
1165,1211,liqueur
1166,1212,rum
1167,1213,cold
1168,1214,citrus
1169,1215,cold
1170,1216,fruit
1171,1217,beer
1172,1218,tequila
1173,1219,liqueur
1174,1221,mixer
1175,1222,mixer
1176,1223,gin
1177,1224,liqueur
1178,1225,wine
1179,1226,citrus
1180,1227,gin
1181,1228,spice
1182,1229,liqueur
1183,1230,citrus
1184,1231,egg
1185,1232,beer
1186,1233,gin
1187,1235,liqueur
1188,1236,citrus
1189,1237,fruit
1190,1238,gin
1191,1239,citrus
1192,1240,syrup
1193,1241,herbal
1194,1242,spice
1195,1243,liqueur
1196,1244,sour
1197,1245,champagne
1198,1246,cold
1199,1247,herbal
1200,1248,whiskey
1201,1249,syrup
1202,1250,wine
1203,1251,rum
1204,1252,syrup
1205,1253,citrus
1206,1254,herbal
1207,1255,spice
1208,1256,whiskey
1209,1257,wine
1210,1258,wine
1211,1259,wine
1212,1260,gin
1213,1261,syrup
1214,1262,citrus
1215,1263,syrup
1216,1264,herbal
1217,1265,whiskey
1218,1266,cream
1219,1267,liqueur
1220,1268,bitters
1221,1269,rum
1222,1270,liqueur
1223,1271,cream
1224,1272,syrup
1225,1273,tequila
1226,1274,mezcal
1227,1275,liqueur
1228,1276,syrup
1229,1277,mixer
1230,1278,sugar
1231,1279,liqueur
1232,1280,vodka
1233,1281,nut
1234,1282,citrus
1235,1283,mixer
1236,1284,vodka
1237,1285,wine
1238,1286,cold
1239,1287,mixer
1240,1288,spicy
1241,1289,herbal
1242,1290,vodka
1243,1291,cold
1244,1292,liqueur
1245,1293,citrus
1246,1294,spice
1247,1295,spice
1248,1297,vegetable
1249,1298,vegetable
1250,1299,fruit
1251,1301,beer
1252,1302,vegetable
1253,1303,spice
1254,1305,liqueur
1255,1306,juice
1256,1307,juice
1257,1308,spice
1258,1309,wine
1259,1310,citrus
1260,1311,fruit
1261,1312,fruit
1262,1313,gin
1263,1314,liqueur
1264,1315,nut
1265,1316,citrus
1266,1317,citrus
1267,1318,bitters
1268,1319,rum
1269,1320,citrus
1270,1321,citrus
1271,1322,spice
1272,1323,syrup
1273,1324,citrus
1274,1325,gin
1275,1326,whiskey
1276,1327,liqueur
1277,1328,beer
1278,1329,bitters
1279,1330,citrus
1280,1331,gin
1281,1332,cognac
1282,1333,tea
1283,1334,liqueur
1284,1335,mixer
1285,1336,citrus
1286,1337,nut
1287,1338,liqueur
1288,1339,liqueur
1289,1340,citrus
1290,1341,syrup
1291,1342,fruit
1292,1343,mixer
1293,1344,cognac
1294,1345,citrus
1295,1346,citrus
1296,1348,syrup
1297,1349,bitters
1298,1350,gin
1299,1351,wine
1300,1352,liqueur
1301,1353,vodka
1302,1354,citrus
1303,1355,syrup
1304,1356,spice
1305,1357,spice
1306,1358,gin
1307,1359,liqueur
1308,1360,liqueur
1309,1361,wine
1310,1362,whiskey
1311,1363,liqueur
1312,1364,citrus
1313,1365,cold
1314,1366,syrup
1315,1368,spirit
1316,1369,liqueur
1317,1370,liqueur
1318,1371,citrus
1319,1372,fruit
1320,1373,cognac
1321,1374,citrus
1322,1375,syrup
1323,1376,wine
1324,1377,brandy
1325,1378,liqueur
1326,1379,mixer
1327,1380,citrus
1328,1381,citrus
1329,1382,wine
1330,1383,liqueur
1331,1384,liqueur
1332,1385,citrus
1333,1386,syrup
1334,1387,vodka
1335,1388,spice
1336,1389,bitters
1337,1390,chocolate
1338,1391,rum
1339,1392,citrus
1340,1393,syrup
1341,1394,herbal
1342,1396,cold
1343,1398,vodka
1344,1399,citrus
1345,1400,syrup
1346,1401,citrus
1347,1402,herbal
1348,1403,spice
1349,1404,rum
1350,1405,citrus
1351,1406,liqueur
1352,1407,citrus
1353,1408,syrup
1354,1409,mixer
1355,1410,brandy
1356,1411,citrus
1357,1412,liqueur
1358,1413,liqueur
1359,1414,herbal
1360,1415,fruit
1361,1416,vodka
1362,1417,fruit
1363,1419,citrus
1364,1420,mixer
1365,1421,liqueur
1366,1422,spice
1367,1423,whiskey
1368,1424,syrup
1369,1425,citrus
1370,1426,bitters
1371,1427,citrus
1372,1428,citrus
1373,1429,fruit
1374,1430,brandy
1375,1431,syrup
1376,1432,citrus
1377,1433,citrus
1378,1434,mixer
1379,1435,mixer
1380,1436,cold
1381,1437,herbal
1382,1438,whiskey
1383,1439,spice
1384,1440,citrus
