tConst,title,year,rating,votes
tt0009109,The Girl Who Stayed at Home,1919,6.4,79.0
tt0009131,The Great Romance,1919,2.1,9.0
tt0009136,The Gulf Between,1917,6.5,12.0
tt0009137,The Gun Woman,1918,7.3,14.0
tt0009150,Hearts of the World,1918,6.4,888.0
tt0009193,O Homem dos Olhos Tortos,1918,5.8,13.0
tt0009273,The Lady of the Dugout,1918,6.8,46.0
tt0009279,Laughing Bill Hyde,1918,5.4,11.0
tt0009304,The Lion's Claws,1918,5.1,10.0
tt0009305,Little Miss Hoover,1918,6.6,10.0
tt0009306,Little Orphant Annie,1918,7.1,43.0
tt0009325,The Lure of the Circus,1918,6.0,15.0
tt0009356,The Married Virgin,1918,5.3,610.0
tt0009369,Mickey,1918,5.9,1047.0
tt0009400,Mr. Fix-It,1918,6.8,12.0
tt0009416,Mästerkatten i stövlar,1918,4.6,10.0
tt0009423,The Naulahka,1918,6.1,8.0
tt0009475,A Pair of Silk Stockings,1918,4.3,476.0
tt0009492,A Petticoat Pilot,1918,7.0,19.0
tt0009523,Prunella,1918,6.8,11.0
tt0009544,Revenge,1918,7.1,23.0
tt0009550,Riddle Gawne,1918,7.0,23.0
tt0009560,The Romance of Tarzan,1918,6.2,26.0
tt0009561,A Romance of the Air,1918,6.0,7.0
tt0009573,Salome,1918,6.1,24.0
tt0009600,Shark Monroe,1918,5.2,12.0
tt0009611,Shoulder Arms,1918,7.3,5507.0
tt0009630,Society for Sale,1918,7.3,9.0
tt0009650,The Squaw Man,1918,5.8,23.0
tt0009651,Station Content,1918,6.7,19.0
tt0009652,Stella Maris,1918,6.7,1336.0
tt0009677,Das Tagebuch einer Verlorenen,1918,6.8,15.0
tt0009690,Thieves' Gold,1918,4.4,26.0
tt0009701,Tih Minh,1918,7.0,300.0
tt0009737,The Unbeliever,1918,5.9,103.0
tt0009757,Vendémiaire,1918,6.9,36.0
tt0009771,The Merry Widow,1920,5.3,16.0
tt0009790,When Men Betray,1918,5.8,6.0
tt0009827,Woman,1918,5.5,11.0
tt0009858,The A.B.C. of Love,1919,6.4,20.0
tt0009859,Ace of the Saddle,1919,5.0,33.0
tt0009879,Anne of Green Gables,1919,7.0,54.0
tt0009892,Auction of Souls,1919,5.9,947.0
tt0009893,The Oyster Princess,1919,7.2,1573.0
tt0009894,The Grey Automobile,1919,7.1,156.0
tt0009903,Bare Fists,1919,4.1,32.0
tt0009915,Behind the Door,1919,7.1,147.0
tt0009922,The Best Man,1919,5.0,8.0
tt0009950,Bolshevism on Trial,1919,5.5,28.0
tt0009968,Broken Blossoms,1919,7.4,8899.0
tt0009969,The Broken Butterfly,1919,7.0,10.0
tt0009991,The Carter Case,1919,6.1,9.0
tt0010010,The Climbers,1919,7.2,8.0
tt0010040,Daddy-Long-Legs,1919,6.5,1290.0
tt0010061,Deliverance,1919,6.9,47.0
tt0010102,The Exquisite Thief,1919,5.1,7.0
tt0010103,Eyes of Youth,1919,5.4,640.0
tt0010112,The False Faces,1919,6.0,60.0
tt0010113,Ett farligt frieri,1919,6.2,42.0
tt0010137,"For Better, for Worse",1919,5.4,695.0
tt0010180,Godovshchina revolyutsii,1918,7.0,51.0
tt0010193,The Greatest Question,1919,5.8,663.0
tt0010198,A Gun Fightin' Gentleman,1919,4.4,38.0
tt0010206,Hans nåds testamente,1919,6.6,41.0
tt0010219,Hawthorne of the U.S.A.,1919,3.9,366.0
tt0010247,Sir Arne's Treasure,1919,7.3,1134.0
tt0010248,Der Herr der Liebe,1919,6.3,31.0
tt0010259,Historien om en gut,1919,6.7,29.0
tt0010276,Human Desire,1919,5.0,7.0
tt0010292,In Wrong,1919,6.8,9.0
tt0010307,J'accuse!,1919,7.7,1338.0
tt0010315,Johnny Get Your Gun,1919,6.6,21.0
tt0010323,The Cabinet of Dr. Caligari,1920,8.1,52436.0
tt0010330,Emerald of Death,1919,7.1,36.0
tt0010331,The Knickerbocker Buckaroo,1919,6.7,9.0
tt0010356,Lightning Bryce,1919,5.7,39.0
tt0010357,The Lightning Raider,1919,5.8,24.0
tt0010386,The Lost Battalion,1919,6.8,83.0
tt0010408,The Lurking Peril,1919,2.9,12.0
tt0010419,The Man Hunter,1919,6.6,11.0
tt0010432,A Man's Fight,1919,1.0,15.0
tt0010444,The Masked Rider,1919,6.7,11.0
tt0010466,The Miracle Man,1919,6.6,144.0
tt0010476,The Money Corral,1919,5.9,16.0
tt0010484,The Mother and the Law,1919,6.9,161.0
tt0010501,Der Mädchenhirt,1919,6.0,14.0
tt0010502,Nachtgestalten,1920,6.4,8.0
tt0010559,Die Pest in Florenz,1919,6.4,117.0
tt0010596,Prostitution,1919,6.5,6.0
tt0010600,The Doll,1919,7.4,1577.0
tt0010622,Around the World in 80 Days,1919,6.7,6.0
tt0010630,The Right to Happiness,1919,5.3,7.0
tt0010641,A Rosa do Adro,1919,6.8,17.0
tt0010662,Scarlet Days,1919,5.0,416.0
tt0010680,The Sentimental Bloke,1919,6.3,225.0
tt0010726,The Spiders - Episode 1: The Golden Sea,1919,6.7,1001.0
tt0010733,Square Deal Sanderson,1919,7.0,6.0
tt0010755,Sången om den eldröda blomman,1919,6.9,142.0
tt0010781,The Tiger's Trail,1919,3.2,11.0
tt0010793,The Dance of Death,1919,6.5,11.0
tt0010806,True Heart Susie,1919,7.0,1545.0
tt0010821,Eerie Tales,1919,6.5,419.0
tt0010847,Virtuous Sinners,1919,6.8,14.0
tt0010879,When the Clouds Roll by,1919,6.9,751.0
tt0010900,Wings of the Morning,1919,2.1,10.0
tt0010920,The World and Its Woman,1919,6.8,11.0
tt0010942,813,1920,4.8,6.0
tt0010949,The Adventurer,1920,1.0,8.0
tt0010962,Deception,1920,6.6,539.0
tt0010965,An Arabian Knight,1920,5.1,22.0
tt0010969,Missing Husbands,1921,6.7,299.0
tt0011000,Leaves From Satan's Book,1920,6.7,1046.0
tt0011025,The Breath of the Gods,1920,6.2,5.0
tt0011045,Carolina Rediviva,1920,7.6,5.0
tt0011076,The County Fair,1920,5.9,38.0
tt0011094,The Dark Mirror,1920,5.9,12.0
tt0011114,The Devil's Passkey,1920,6.2,9.0
tt0011128,Down on the Farm,1920,6.3,91.0
tt0011131,Dr. Jekyll and Mr. Hyde,1920,5.3,120.0
tt0011133,Drag Harlan,1920,6.9,8.0
tt0011172,The Family Honor,1920,6.1,8.0
tt0011173,Fante-Anne,1920,6.3,115.0
tt0011197,For the Soul of Rafael,1920,5.4,8.0
tt0011217,Journey into the Night,1921,6.4,285.0
tt0011228,The Girl in Number 29,1920,3.0,22.0
tt0011234,Go and Get It,1920,4.4,12.0
tt0011256,Gyurkovicsarna,1920,5.4,16.0
tt0011294,L'Hirondelle et la Mésange,1924,7.1,147.0
tt0011317,Humoresque,1920,6.2,123.0
