mCategoryId,tConst,genreId
322,tt0008536,3
323,tt0008541,3
324,tt0008550,3
325,tt0008551,14
326,tt0008561,12
327,tt0008561,9
328,tt0008579,7
329,tt0008623,14
330,tt0008652,3
331,tt0008652,6
332,tt0008652,0
333,tt0008663,3
334,tt0008663,8
335,tt0008679,11
336,tt0008696,10
337,tt0008710,3
338,tt0008735,3
339,tt0008735,0
340,tt0008775,11
341,tt0008775,0
342,tt0008775,14
343,tt0008787,3
344,tt0008787,8
345,tt0008807,6
346,tt0008807,8
347,tt0008808,12
348,tt0008822,11
349,tt0008822,3
350,tt0008826,13
351,tt0008826,17
352,tt0008827,11
353,tt0008827,0
354,tt0008836,3
355,tt0008854,3
356,tt0008854,13
357,tt0008879,3
358,tt0008892,3
359,tt0008892,14
360,tt0008923,3
361,tt0008933,3
362,tt0008951,4
363,tt0008951,3
364,tt0008951,0
365,tt0008990,11
366,tt0009014,3
367,tt0009020,3
368,tt0009046,3
369,tt0009046,0
370,tt0009047,11
371,tt0009047,3
372,tt0009079,11
373,tt0009079,3
374,tt0009096,3
375,tt0009109,3
376,tt0009109,8
377,tt0009130,3
378,tt0009130,8
379,tt0009131,4
380,tt0009131,0
381,tt0009136,11
382,tt0009136,3
383,tt0009137,14
384,tt0009150,3
385,tt0009150,8
386,tt0009193,2
387,tt0009193,9
388,tt0009212,3
389,tt0009212,9
390,tt0009212,8
391,tt0009240,11
392,tt0009240,3
393,tt0009241,11
394,tt0009241,0
395,tt0009273,14
396,tt0009279,4
397,tt0009279,11
398,tt0009304,16
399,tt0009304,4
400,tt0009305,11
401,tt0009305,0
402,tt0009306,3
403,tt0009325,16
404,tt0009325,4
405,tt0009326,11
406,tt0009326,3
407,tt0009356,3
408,tt0009369,11
409,tt0009369,3
410,tt0009400,11
411,tt0009400,0
412,tt0009416,11
413,tt0009423,4
414,tt0009440,3
415,tt0009475,11
416,tt0009475,0
417,tt0009492,11
418,tt0009492,3
419,tt0009523,0
420,tt0009544,14
421,tt0009550,16
422,tt0009550,14
423,tt0009560,16
424,tt0009560,4
425,tt0009561,4
426,tt0009561,0
427,tt0009573,3
428,tt0009580,3
